author,text,likes,published_at,video_id,video_title,video_url
@nileshmamidwar5054,I think its time for you guys to rebalance and reduce the drawdown,0,2024-10-25 08:29:03+00:00,0izZ6DgwVBQ,Cash Flows vs. EBITDA: Which is Better?💸,https://www.youtube.com/watch?v=0izZ6DgwVBQ
@PCX-N3H,useless....first work on your gg6 smallcase,0,2024-10-24 14:44:34+00:00,-tlnrXdsj5Y,Why Private Companies IPO?,https://www.youtube.com/watch?v=-tlnrXdsj5Y
@Graham-and-Doddsville,This is a great lesson. The costs involved should be taken into consideration before getting lured in with high returns.,0,2024-10-14 11:02:01+00:00,Z12AOj3zGXQ,The $1M Bet Between Warren Buffett and Protégé Partners! 💰,https://www.youtube.com/watch?v=Z12AOj3zGXQ
@rhijudas7729,Pura profit le lia 8 mnth ka jst 2 weeks me.. Ab to daar lag rahe hey.. I am an investor of gulaq more than 1 year😢😢,0,2024-10-24 10:45:46+00:00,16Mb2PnoJm8,Gulaq September AMA webinar,https://www.youtube.com/watch?v=16Mb2PnoJm8
@kunalbhattacharya6457,Very poor performance.,0,2024-10-18 08:07:17+00:00,16Mb2PnoJm8,Gulaq September AMA webinar,https://www.youtube.com/watch?v=16Mb2PnoJm8
@abhishekojha3802,Don't agree with the return data you all are showing... I have been an investor since last 10 months.. But my smallcase return says it is around 8-9 % which is much much lower than what you guys claim.... Infact forget about giving alpha return of 5% .... Gylaq 6   return is around 4-6% lower than the benchmark if u consider all the  costs incured,1,2024-10-18 06:15:42+00:00,16Mb2PnoJm8,Gulaq September AMA webinar,https://www.youtube.com/watch?v=16Mb2PnoJm8
@nileshmamidwar5054,My current returns is in negative -3%,1,2024-10-14 05:33:26+00:00,16Mb2PnoJm8,Gulaq September AMA webinar,https://www.youtube.com/watch?v=16Mb2PnoJm8
@nileshmamidwar5054,Gular gear 6 is not performing for last 6 months! while all other smallcases are performing better,1,2024-10-14 05:21:10+00:00,16Mb2PnoJm8,Gulaq September AMA webinar,https://www.youtube.com/watch?v=16Mb2PnoJm8
@abhi09213,Gulaq Gear 6 not able to beat it's benchmark on 1 year time frame.. it's just a hyped smallcase due to after covid rally... Just do one thing go to small case and check it's return on investment on 2 lakh.. as 2 lakh is the recommended amount by them in earlier videos... Using any discount broker cost adjusted return it would not beat it's multicap benchmark....,1,2024-10-13 09:03:28+00:00,16Mb2PnoJm8,Gulaq September AMA webinar,https://www.youtube.com/watch?v=16Mb2PnoJm8
@vibhor305,"If you want to target 16-20% in long term including alpha returns then better i invest in MFs because in MFs over 11 years, i am getting 16-17% XIRR",1,2024-10-11 08:39:58+00:00,16Mb2PnoJm8,Gulaq September AMA webinar,https://www.youtube.com/watch?v=16Mb2PnoJm8
@vibhor305,"Out of 36 stocks, only 10 stocks are in green, rest are in RED..Gulaq gear 6 is not performing at all",4,2024-10-11 08:37:12+00:00,16Mb2PnoJm8,Gulaq September AMA webinar,https://www.youtube.com/watch?v=16Mb2PnoJm8
